mnp_career_code,workua_title_uk,workua_slug,workua_url,mapping_status
screenwriter,Сценарист,screenwriter,https://www.work.ua/career-guide/screenwriter/,new_from_workua
seamstress,Швачка,seamstress,https://www.work.ua/career-guide/seamstress/,new_from_workua
security_guard,Охоронець,security-guard,https://www.work.ua/career-guide/security-guard/,new_from_workua
seo_specialist,SEO-спеціаліст,seo-specialist,https://www.work.ua/career-guide/seo-specialist/,new_from_workua
shop_assistant,Продавець-консультант,shop-assistant,https://www.work.ua/career-guide/shop-assistant/,new_from_workua
smm_manager,SMM-менеджер,smm-manager,https://www.work.ua/career-guide/smm-manager/,new_from_workua
sommelier,Сомельє,sommelier,https://www.work.ua/career-guide/sommelier/,new_from_workua
speech_therapist,Логопед,logopedist,https://www.work.ua/career-guide/logopedist/,new_from_workua
stylist,Стиліст,stylist,https://www.work.ua/career-guide/stylist/,new_from_workua
subway_driver,Машиніст метро,subway-driver,https://www.work.ua/career-guide/subway-driver/,new_from_workua
supervisor,Супервайзер,supervisor,https://www.work.ua/career-guide/supervisor/,new_from_workua
surgeon,Хірург,surgeon,https://www.work.ua/career-guide/surgeon/,new_from_workua
system_administrator,Системний адміністратор,system-administrator,https://www.work.ua/career-guide/system-administrator/,new_from_workua
targetologist,Таргетолог,targetologist,https://www.work.ua/career-guide/targetologist/,new_from_workua
teacher,Вчитель,teacher,https://www.work.ua/career-guide/teacher/,new_from_workua
technologist,Технолог-розробник,technologist-developer,https://www.work.ua/career-guide/technologist-developer/,new_from_workua
three_d_designer,3D-дизайнер,three-d-designer,https://www.work.ua/career-guide/three-d-designer/,new_from_workua
tour_guide,Екскурсовод,guide,https://www.work.ua/career-guide/guide/,new_from_workua
tour_manager,Менеджер з туризму,tourism-manager,https://www.work.ua/career-guide/tourism-manager/,new_from_workua
tractor_operator,Тракторист-машиніст,tractor-driver,https://www.work.ua/career-guide/tractor-driver/,new_from_workua
train_conductor,Провідник,train-conductor,https://www.work.ua/career-guide/train-conductor/,new_from_workua
turner_machinist,Токар,turner,https://www.work.ua/career-guide/turner/,new_from_workua
veterinarian,Ветеринар,veterinarian,https://www.work.ua/career-guide/veterinarian/,new_from_workua
video_editor,Режисер монтажу,film-editor,https://www.work.ua/career-guide/film-editor/,new_from_workua
videographer,Відеооператор,videographer,https://www.work.ua/career-guide/videographer/,new_from_workua
waiter,Офіціант,waiter,https://www.work.ua/career-guide/waiter/,new_from_workua
warehouse_keeper,Комірник,storekeeper,https://www.work.ua/career-guide/storekeeper/,new_from_workua
welder,Зварник,welder,https://www.work.ua/career-guide/welder/,new_from_workua
